Issuer Name,Full Name,Official Website,Support Phone,Detection Keywords,Parser Class,Status
HDFC Bank,HDFC Bank Limited,https://www.hdfcbank.com,1800-202-6161,hdfc bank;hdfc,HDFCParser,Active
ICICI Bank,ICICI Bank Limited,https://www.icicibank.com,1800-1080,icici bank;icici,ICICIParser,Active
State Bank of India,State Bank of India,https://www.sbi.co.in,1800-11-2211,state bank of india;sbi,SBIParser,Active
Axis Bank,Axis Bank Limited,https://www.axisbank.com,1800-419-5577,axis bank;axis,AxisParser,Active
Kotak Mahindra Bank,Kotak Mahindra Bank,https://www.kotak.com,1800-266-1234,kotak mahindra bank;kotak,KotakParser,Active
DCB Bank,DCB Bank Limited,https://www.dcbbank.com,1800-209-5363,dcb bank;dcb;development credit bank,DCBParser,Active
Yes Bank,Yes Bank Limited,https://www.yesbank.in,1800-1200,yes bank;yes,YesBankParser,Active
IndusInd Bank,IndusInd Bank Limited,https://www.indusind.com,1800-2100,indusind bank;indusind,IndusIndParser,Active
OneCard,OneCard,https://www.getonecard.app,1800-2100,onecard;one card,OneCardParser,Active



